"SURVEY_YEAR","CRUISE","MALE_WEIGHTED_GEAR_TEMP","FEMALE_WEIGHTED_GEAR_TEMP"
1975,197502,1.85119284239574763454489593898382693658,1.94838696906635052662410166858410714614
1976,197602,1.14050054858470677722620954659154517782,1.2777582180283801945490762084049339624
1976,197601,0.2449031766889950133321070303851454710021,0.3114370075658011874884042454283109750323
1977,197703,0.9480032621399645222088119927641698324101,1.22938981989754951353124025401165121646
1978,197801,3.88744960419954480538729509832283561072,4.85764278275148949034553256626394284558
1978,197802,3.19773917779837039525859665283609180482,3.49458989650561314114598649081612673358
1979,197901,6.4244155467420304225559830959282428552,6.11087820990878350242908717391326315819
1979,197902,4.27680621467850049375676204208485705066,5.03697025828673932974314125445414493005
1980,198002,2.11829995301244823989745165822470414675,2.83910187150474768122063755652917903913
1980,198001,2.60091866690241558302907193094582623835,2.86107451795666587220055415764629973055
1981,198103,4.27497554466237277113024596579085321869,4.3
1981,198101,4.59555861927704820541792274512095222432,4.58816539387863603741595717741735932034
1982,198201,0.4095730636843353844159168225166097210843,0.4903497243193093902056899829814159774811
1982,198203,0.991266021414396177842783856689630500352,1.07696188938706950715659874150029792618
1983,198303,3.6634646910625235490989598148154818308,3.71460078326045740680630600271244727178
1983,198301,3.61067196592504953535816600475186109795,3.45790251697028765237288346117212143367
1984,198401,3.6123249761267821189025481133057525316,3.64020844762496633683281904240170890592
1984,198402,3.00072391571143968550931193272931913453,2.96971829450164411179200877092219080795
1985,198501,2.75505388505912588060350249836230773422,3.02169091407272035437892686301597382928
1986,198601,2.29640002979645003793216110166944489775,2.56423581102411977161066498955712920537
1986,198602,1.38878285899556331485146794943993586922,0.8303943457395041110018890528016145844895
1987,198701,3.46094863815351089694145286820742278476,3.4741783570893071778745625539683829896
1988,198801,2.72144136818316106649965423480751302629,2.86785992240931028241872506392829264819
1989,198901,2.57977725931504173282426881529817791201,2.87523588149548353837719693432559555582
1990,199001,2.55441551152430931057482971385727347614,2.32948498450078890484887386758329256117
1991,199101,2.93292205804818250701479176912077104154,2.99871357587422921810478137496305179756
1992,199201,1.75111348477871583274211419936873700135,2.20617270832598840325234856688086082932
1993,199301,3.614749314266550143317951515783949902,3.95909870873021779384397318134085615732
1994,199401,1.83842526978686246055600990129828214567,1.88138791141429923334712539045722827644
1995,199501,2.07057492923661467677318323844559546119,2.33520913298242890511145686109601074416
1996,199601,4.11339645425652976073000149508330931893,4.16659059478023116472138423260521179767
1997,199701,2.64165645736102853434945916624308401265,2.68370511697734915782834891489269995896
1998,199801,3.77162951960300286488204338733995917084,3.83722395681439124830727562925057340911
1999,199901,0.8824069936090025520122887031107598012083,0.9487497402879066659280228009490610399691
2000,200001,1.67722311306922033627880222462845120353,1.62043627078055512632851815561521962113
2001,200101,3.68461033063779930363118293849709144201,3.59543353422899137278423070960419551498
2002,200201,3.33745156353808011275155873702752601125,3.34060973978549893622484109063051732243
2003,200301,4.1420194317950698047206852024387774803,4.10622039715652162994867899926539104073
2004,200401,3.90428651495691539723448122622075877239,4.05153832357824147299504892503454278945
2005,200501,4.55109188813320388360522828044920877126,4.68411263180333132089890244480644521905
2006,200601,2.19791258301536658695394632477371396423,2.23472115364747293959807445675460331449
2007,200701,1.96244222223250268175389331637083516567,1.86837698480183204455868693152531462855
2008,200801,1.80695234621703522660202070789956364035,1.57131121925078672660246347017122080688
2009,200901,2.17367360013348447313958599837383923137,2.20843878818097722687942070615515480092
2010,201001,1.86889069898853879452179036724051710059,1.82530479218829919553501016462123472894
2011,201101,3.68201441573677650996996452971060130854,3.68183334701493621533813542199947499286
2012,201201,0.9980698855296031205760926891290223322112,0.730874309836332918023406751673290881868
2013,201301,2.7074825713577822526385302312351395584,2.75726498562580259410403334668152471392
2014,201401,4.53928913307962192685819294249652658556,4.2936092337980807526959114638329539213
2015,201501,4.69194162958149892549437515424387131643,4.69864423126286076573983542402361278249
2016,201601,5.46551529123784657891084214854573557231,5.38583514760409690633099982926881399483
2017,201701,2.89492546342623874066387819789879686343,2.89538744109443508209670167784446701998
2018,201801,4.60243634540675529182469024654158150365,4.61654784204803733682789289697433357478
2019,201901,5.13578011462258468413946717486226962702,5.06441356796915899839705766494196035037
2021,202101,4.02430670139245323116568063100849862416,4.04352237183752833894974982100273811662
2022,202201,3.35654308737074613132017986132093704123,3.5637807876917266758876808780882922935
2023,202301,3.02845230999267357279026440156289026876,3.28831309919569174767935845837570529976
