"SURVEY_YEAR","CRUISE","IMMATURE_FEMALE_WEIGHTED_GEAR_TEMP","MATURE_FEMALE_WEIGHTED_GEAR_TEMP","TOTAL_FEMALE_WEIGHTED_GEAR_TEMP"
1986,198601,0.9241760660595305883998084620561748954217,-0.5316088556770004613101253483894402633954,0.7325680382829202981510273575617272467508
1988,198801,-0.6573936591982608762852781060716216644359,0.6343667849329034483757145307503052600499,0.2732029695278942356609484649091602941061
1992,199201,-0.0823362414927208507378408668537147075099,0.8598236083175224361469397705373680345946,0.4140045889896097504552848954762681721446
2001,200101,-0.0133514635320518513902596848994755834015,1.46608768905884967389511202712548698324,1.04966099873741295094215163863043658567
2012,201201,-0.7363642003279774124871712585824168072259,0.5108181797448444305881985500261146879105,0.1024042007864046009185500528740249445256
1991,199101,0.5657651492525376593789624228268139603725,1.51103065940366263820985295449893097077,1.11919662212360222375926813708450853916
1989,198901,1.86910192702739500813979287408926508433,2.54105012257662031331973998698000427993,2.46260036871302053036332971807727140249
2002,200201,0.7389389132119990696783559600250009144769,2.29754020354672338081866477048904945037,1.98062082372398224678755529258471139558
2010,201001,-0.4701156944237817027363936532672171074072,0.2600150503638900021891363600115435380601,-0.1927977450636783805947770428027341243279
2013,201301,-0.7551492362634009309378257859339663201319,1.19639194558496185256016801773827563143,0.552437981933050747753900303439474806997
1978,197801,1.04226200274322236181702751573117983618,2.84464488416979135911217918486196232038,2.08268080114875140093311909037465796304
1980,198001,0.4409074061514321384881843409595946389369,1.16190015690063994744306624326023508988,0.9838404089256079336204145919409235111081
1984,198401,-0.5476869391534163961549899624894589675955,1.99825239257060529336135260766229152164,0.5070657608455593059509798519548105815702
1985,198501,0.3005394851099683531751346446138378069527,0.1978249922605414981816308700936320036017,0.271170791538600177116199406024048563586
2018,201801,3.42767206532170297061028114110919175072,3.21932157604587188390604626513505325261,3.30783746764876192892232449559717565698
1977,197703,2.97850947844342356071407166044679065807,1.59693033951431379455665380090353071929,2.02044365284699559129388487382216496968
1982,198203,1.67325043790875739176465381463438621548,2.83802095668843632946608843196916484075,2.80990927504799446250424797928197265808
1983,198301,-0.3012491663201805976781158414001572493178,2.38561958594079731926067680060142047346,2.21162173414148596393049589830725418764
1987,198701,2.03920038085186495846698905952290147244,2.06445662940490898680167686482506407284,2.04873023491502095996322271758133109561
1984,198402,-0.9818423140524552720638017510272064544631,1.6433478611944832232552697214480844287,0.6644379485491826083503619972115257580237
1994,199401,-1.29421525647022876179357561299869186865,-0.09387877580987256569162595834522897179,-0.7232479842484704836250721857699499043926
1998,199801,1.34034564655204425131781602950038138424,1.97840739692709300763516129564001431731,1.85552526626276507401579152055145109316
2000,200001,-0.1311010780236241273357647573041834847716,0.2992492871551767242971022061470468138766,0.2121221818100418227756128459275925966296
1999,199901,-1.10083097747717912571443581830367657509,0.5014599029441405045136380447543197925947,0.0933846896406574908255510311607294934083
2011,201101,0.5608438547439574344042624439660321855197,1.56192802712741051446346076722614174878,1.27825908467704147590802603139568039252
2015,201501,-0.770485321871789450890152067176346127242,2.17314080744384430611123950157144746498,0.6566521822418695550919417942176257791264
2021,202101,2.54605430788238862842596328341534952983,2.38572690495942296975379615092649549675,2.39047491901284095650229980606604071588
1997,199701,-1.06464533309796599998373216201433340897,1.69970125829461701285845541356031230719,1.52383157909816452222684342106142349333
1975,197502,0.5871245561976356977471842457144574437245,1.23999681443831537980161760633112822136,1.02067141305848333865256759501072881401
1981,198103,1.49297773212545983350217054396899563752,2.94414945152493278704544385001440969181,2.80404261978306555891136401018652623197
1981,198101,3.65508627181107043967224405390558766296,3.69418975361322878609530271325812183281,3.69136764932340773031673653575178360329
1983,198303,-0.0367107848830469125851432929712174769859,2.41405226670710549862665905465884799154,1.9241759308839340818033406576027095355
1980,198002,2.37104289700191576840968398392478792978,3.3748400348457153958956925163379675967,3.34531240750777576512802566276119372308
1993,199301,0.9776042096380971178296786493831074133713,1.24513744182363085624143947635341467149,1.09899448102361846721862898108855709843
2022,202201,-0.4328979057980049296565708875400652837719,-0.1538947906660045075328298030285225761421,-0.3393492759763037003622793335090706616101
2016,201601,-0.1890264021524067154485794313473140224108,3.04766835176951489178743231026095423511,0.7483187948443504112257804617838420829582
1979,197902,3.73793405389893419846190994151497895971,3.87327507597532953660895486932767572218,3.86476230668126878801489781368959894563
1976,197602,0.4410282628189210208463754042436491725879,1.62721139621590682182452791918948649429,1.56555260637436855920222221832694306317
1978,197802,3.37313628298622306884869221462342383519,3.75650245757570957830252084565946128667,3.75472966301376635656851391998871531411
1996,199601,0.0297178639893641496309615690902802150038,2.75503184760969610577186117495843786282,2.46673636100131828970677269408006920811
2004,200401,1.49859339422658628990074535361314857227,1.30434842789196635705175077516157159611,1.43123843332728775295193765273825704746
2003,200301,1.11924541389020649257326999396324948874,3.58534687168105234454223109789611041023,2.45723012423353803461869955174763166231
2014,201401,1.56539348279893532814086978722816808388,2.35835233730578842922441924595528293393,1.98597111301801626872040929997322765391
2019,201901,1.78046281195609526596911093518264476545,2.45254910708047579556669740687565599724,2.41739805274697442969385285177631317732
2023,202301,0.005827218254570498995780099066908676545676,-0.5630722464080906200187979766192555631589,-0.1227718509009472948586747965313981365581
1982,198201,2.25498149302522252413223260400351184566,2.56991591773099103428519487325142290636,2.55919093739041315585303942812962178812
1990,199001,-0.3629139919810025230530870162242385917319,1.46840982108207049406869633883462510789,0.9862788687156158891433203396474188382408
2005,200501,1.68555329724324298314119178128513102821,1.88528766914157194274534615277328863672,1.76473248290574718044657323793043047187
2006,200601,-1.04882984312706375299686695958301258543,0.4377858913609622494222182089725780765953,-0.321158490860713412193055216424250011871
2007,200701,-0.8696736143598563365708349503664546659584,0.2136440062749345384373678856327680180792,-0.2341927826814941873038620881738159039956
2008,200801,-0.8837587217208977162325734775758945947453,0.5010480332025224935341858578408330248343,0.0289191544868954891520065137223080266317
1976,197601,0.3197914290150262697830008201238773229964,-0.0113524102554404455110852392623423390476,0.1682429407115717029992851517007203845353
1986,198602,0.1345735409604732037840953270711682077242,0.3398477197295505585856595751572931133122,0.2099167015261887437728287905085331032917
1995,199501,-1.13008398794462970620360480090856880665,0.5884427512965423298149907054331168658006,0.1670130395395612225742299804822822489981
2009,200901,-1.21411521003570804672375177020566651992,0.4940216730220588734739636090649630322882,-0.478919290741888322606360386145261739996
2017,201701,-0.5987585459184170325910949221302053863175,1.10799552206841176613005104086184698615,0.1966985195914549836155483386547876921543
1979,197901,2.00488968222870491090734086189497070802,2.91840710633700479684885131586815018668,2.36432438614517801419917411061645494629
