"SURVEY_YEAR","CRUISE","MALE_WEIGHTED_GEAR_TEMP"
2018,201801,3.5656421023411807448905965139407232886
2014,201401,2.66874124697773666946409120628365354824
2017,201701,2.56930093063174639817468064279982179502
2019,201901,2.56271414827503885408980270127273921957
1979,197901,2.55606631201387970701471896559108510451
2015,201501,2.40562318525406802089604493985471780215
2003,200301,2.3718738954105076290273287968004718137
2021,202101,2.3348396321639685603404565524181885829
1989,198901,2.28212007288236443739241272144533079809
1979,197902,2.2
1996,199601,2.0929751299745224642196646058897211203
1980,198002,2
1998,199801,1.83043185096248518228634762937014257083
2002,200201,1.80983041033247043496137506846937812086
2016,201601,1.73770670504040447025681601280291194417
2010,201001,1.6717493342192309882566116301607108551
1981,198103,1.65962114290591543541934636402268882464
2022,202201,1.59102841694404874676447883991776510444
2004,200401,1.50231532656961530578977054990387579601
1978,197801,1.49678969169409295805991428574146474909
1983,198301,1.45274185363967293919727379491273491091
1997,199701,1.39826342598466676074883873586389469533
1987,198701,1.37039898117770097370270375497761327744
2011,201101,1.26498354569658013720668300779584876974
1991,199101,1.24074915731591102192144441896990533899
2005,200501,1.12298255455886878442402881769838907353
1993,199301,1.07606248044493867053687624961225659224
1983,198303,1.06131153144591845118500517770385097388
2001,200101,0.9903602512369353946112538673649581227509
2000,200001,0.9330876855515385953220202352624219461745
1982,198201,0.8928110861524002447728390419817351509963
1982,198203,0.821436574783359055841819219510675154487
2007,200701,0.7362295321478596797080356855299909718073
1976,197601,0.5482948176633688677205691434404455349922
2023,202301,0.4359832545469781448202264910236586481597
1988,198801,0.3355208060036821413811755223356348250456
1980,198001,0.2936240935108200407993106259377570333299
1985,198501,0.1857013142868038533870459135157891673892
2009,200901,0.1259697221155984976699011485658222067618
1984,198401,0.103968322852998252069003861552240984517
1995,199501,0.0753948020435104969542476565379831712296
1990,199001,0.0400387416464540636120879027718458614962
1992,199201,-0.1843885853122603910709506466478014084007
2013,201301,-0.248262268749840138642472260450793166142
2012,201201,-0.2761704533671490567855642547602114442825
1986,198601,-0.314400560908238763778968400293652555581
1994,199401,-0.4325208659042663465172436943859706280958
1986,198602,-0.4375930120065888521371567511140862152139
1984,198402,-0.4465516924936069283468489425146433583285
2006,200601,-0.4942099666443226413757457808839897193192
1999,199901,-0.6220753025145422519103408437269076820059
2008,200801,-1.02317993394396461970471096823654241428
