SURVEY_YEAR,CRUISE,IMMATURE_FEMALE_WEIGHTED_GEAR_TEMP,MATURE_FEMALE_WEIGHTED_GEAR_TEMP,TOTAL_FEMALE_WEIGHTED_GEAR_TEMP
1988,198801,2.686563647,2.198090623,2.49933278
1992,199201,2.956763344,2.150006029,2.34784841
2001,200101,3.634729134,3.673964371,3.638595839
2012,201201,0.349231586,0.5216128,0.395953714
1986,198601,1.707214245,2.074929791,1.746380848
1989,198901,2.679571266,2.55053768,2.645126064
1991,199101,2.881924563,2.946748878,2.92556536
2002,200201,3.513189555,3.658959594,3.536080129
2013,201301,1.78140789,1.037411288,1.451729877
2010,201001,1.514620719,2.903408791,1.797093509
1980,198001,3.459614342,3.29399732,3.372454575
1978,197801,3.089625033,3.144918219,3.102640835
1985,198501,2.432448191,2.884369918,2.659424064
1984,198401,3.504030121,3.248762839,3.386729062
2018,201801,4.071450162,4.263756867,4.099607215
1977,197703,3.032459189,1.622493894,2.452102947
1982,198203,2.464309403,3.482976769,3.269259204
1983,198301,3.686428983,3.360405151,3.525022219
1987,198701,3.359641886,3.704692424,3.401609832
1998,199801,3.006781026,3.349027542,3.067708864
1999,199901,2.364458924,2.244425611,2.343126521
2000,200001,2.820772105,2.49249838,2.74619474
2011,201101,2.319067635,3.136331328,2.412521391
2015,201501,4.231610201,4.263456612,4.25048157
2021,202101,3.881592502,3.853343097,3.872854344
1984,198402,2.151021764,2.869227763,2.542842919
1994,199401,2.320628599,2.387010972,2.361925721
1975,197502,1.036728475,2.110104815,1.688589268
1981,198103,3.881357288,3.539253494,3.551767553
1981,198101,4.010327983,4.299670732,4.217737281
1983,198303,3.747821711,3.660666544,3.707695353
1979,197902,3.680812769,3.791845288,3.746808641
1980,198002,3.243383859,3.405473594,3.36448274
1993,199301,3.499747065,2.871281624,3.054343024
2016,201601,4.390484177,4.352366444,4.370353498
2022,202201,2.891588084,3.142726175,2.951334689
1997,199701,2.836498545,2.569400913,2.768651177
1976,197602,2.233919145,1.473050083,1.84096859
1978,197802,4.145166074,3.370623491,3.592074334
1996,199601,2.829429475,2.802880788,2.812821866
2003,200301,4.091179115,4.099589724,4.093504211
2004,200401,3.219393202,3.888750338,3.30908271
2014,201401,2.778630119,3.511232324,3.12087367
2019,201901,4.26727962,4.403076927,4.290922181
2023,202301,3.204546896,3.270933767,3.212911049
1982,198201,3.097271248,3.277201787,3.270410009
1990,199001,2.015660531,2.711661287,2.418792743
2005,200501,3.393801141,4.014288694,3.537014349
2007,200701,1.632288438,2.636545952,2.037725211
2006,200601,1.77441862,3.136094071,2.224142309
2008,200801,2.053837609,2.531986046,2.314395214
1979,197901,3.580408046,3.651019329,3.633703068
1986,198602,1.728868632,2.410362073,1.973206492
1995,199501,2.450472906,1.977113724,2.097413672
2009,200901,2.271576867,2.518564121,2.358040102
2017,201701,3.704826162,3.47660577,3.635087746
1976,197601,-1.480353848,1.271939229,-0.619985415
